stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
1810,JJ07,柏,,35.86210,139.97096,1810,,0,,,
1811,JJ08,我孫子,,35.87280,140.01042,1811,,0,,,
1812,JJ09,天王台,,35.87247,140.04232,1812,,0,,,
1813,JJ10,取手,,35.89534,140.06285,1813,,0,,,
1901,,高崎,,36.32227,139.01234,1901,,0,,,
1902,,高崎問屋町,,36.34614,139.01723,1902,,0,,,
1903,,井野,,36.35744,139.02327,1903,,0,,,
1904,,新前橋,,36.37900,139.04700,1904,,0,,,
1905,,群馬総社,,36.41551,139.03228,1905,,0,,,
1906,,八木原,,36.46379,139.01925,1906,,0,,,
1907,,渋川,,36.49123,139.00879,1907,,0,,,
1908,,敷島,,36.53756,139.03394,1908,,0,,,
1909,,津久田,,36.56103,139.04286,1909,,0,,,
1910,,岩本,,36.60216,139.04753,1910,,0,,,
1911,,沼田,,36.64230,139.03564,1911,,0,,,
1912,,後閑,,36.67955,139.00012,1912,,0,,,
1913,,上牧,,36.73563,138.98456,1913,,0,,,
1914,,水上,,36.77908,138.96930,1914,,0,,,
1915,,湯檜曽,,36.80289,138.98585,1915,,0,,,
1916,,土合,,36.83036,138.96506,1916,,0,,,
1917,,土樽,,36.87528,138.86159,1917,,0,,,
1918,,越後中里,,36.91032,138.84852,1918,,0,,,
1919,,岩原スキー場前,,36.92428,138.83936,1919,,0,,,
1920,,越後湯沢,,36.93582,138.80962,1920,,0,,,
1921,,石打,,36.98892,138.80418,1921,,0,,,
1922,,大沢,,37.02123,138.82133,1922,,0,,,
1923,,上越国際スキー場前,,37.02875,138.82801,1923,,0,,,
1924,,塩沢,,37.04148,138.84843,1924,,0,,,
1925,,六日町,,37.06668,138.87566,1925,,0,,,
1926,,五日町,,37.11994,138.90844,1926,,0,,,
1927,,浦佐,,37.16737,138.92304,1927,,0,,,
1928,,八色,,37.19176,138.93511,1928,,0,,,
1929,,小出,,37.23357,138.95361,1929,,0,,,
1930,,越後堀之内,,37.23896,138.92828,1930,,0,,,
1931,,北堀之内,,37.25574,138.89632,1931,,0,,,
1932,,越後川口,,37.27286,138.86156,1932,,0,,,
1933,,小千谷,,37.30968,138.81348,1933,,0,,,
1934,,越後滝谷,,37.36864,138.83498,1934,,0,,,
1935,,宮内,,37.42214,138.84012,1935,,0,,,
1936,,長岡,,37.44776,138.85398,1936,,0,,,
2001,,佐原,,35.89493,140.49377,2001,,0,,,
2002,,香取,,35.89788,140.53241,2002,,0,,,
2003,,十二橋,,35.91702,140.54583,2003,,0,,,
2004,,潮来,,35.93746,140.54969,2004,,0,,,
2005,,延方,,35.95810,140.58880,2005,,0,,,
2006,,鹿島神宮,,35.97070,140.62593,2006,,0,,,
2007,,鹿島サッカースタジアム,,35.99306,140.63591,2007,,0,,,
2101,,川越,,35.90668,139.48320,2101,,0,,,
2102,,西川越,,35.91910,139.45994,2102,,0,,,
2103,,的場,,35.91754,139.43541,2103,,0,,,
2104,,笠幡,,35.90758,139.40626,2104,,0,,,
2105,,武蔵高萩,,35.90168,139.37112,2105,,0,,,
2106,,高麗川,,35.89637,139.33813,2106,,0,,,
2201,JK47,大宮,,35.90626,139.62396,2201,,0,,,
2202,JK46,さいたま新都心,,35.89360,139.63390,2202,,0,,,
2203,JK45,与野,,35.88438,139.63899,2203,,0,,,
2204,JK44,北浦和,,35.87220,139.64575,2204,,0,,,
2205,JK43,浦和,,35.85856,139.65714,2205,,0,,,
2206,JK42,南浦和,,35.84834,139.66862,2206,,0,,,
2207,JK41,蕨,,35.82793,139.69042,2207,,0,,,
2208,JK40,西川口,,35.81552,139.70436,2208,,0,,,
2209,JK39,川口,,35.80180,139.71746,2209,,0,,,
2210,JK38,赤羽,,35.77765,139.72099,2210,,0,,,
2211,JK37,東十条,,35.76386,139.72676,2211,,0,,,
2212,JK36,王子,,35.75232,139.73821,2212,,0,,,
2213,JK35,上中里,,35.74709,139.74593,2213,,0,,,
2214,JK34,田端,,35.73748,139.76158,2214,,0,,,
2215,JK33,西日暮里,,35.73208,139.76678,2215,,0,,,
2216,JK32,日暮里,,35.72760,139.77117,2216,,0,,,
2217,JK31,鶯谷,,35.72146,139.77803,2217,,0,,,
2218,JK30,上野,,35.71376,139.77706,2218,,0,,,
2219,JK29,御徒町,,35.70720,139.77472,2219,,0,,,
2220,JK28,秋葉原,,35.69854,139.77304,2220,,0,,,
2221,JK27,神田,,35.69177,139.77088,2221,,0,,,
